tickers
AEDTWD=X
AEDUGX=X
AEDUSD=X
AEDZAR=X
AFNCHF=X
AFNEUR=X
AFNUSD=X
ALLCHF=X
ALLEUR=X
ALLGBP=X
ALLUSD=X
ANGBWP=X
ANGCAD=X
ANGCHF=X
ANGEUR=X
ANGGBP=X
ANGGHS=X
ANGUGX=X
ANGUSD=X
ANGZAR=X
ARSAUD=X
ARSBOB=X
ARSBRL=X
ARSBWP=X
ARSCAD=X
ARSCHF=X
ARSCLP=X
ARSCOP=X
ARSDKK=X
ARSEUR=X
ARSGBP=X
ARSGHS=X
ARSHKD=X
ARSJPY=X
ARSKRW=X
ARSMXN=X
ARSPEN=X
ARSPYG=X
ARSSGD=X
ARSTHB=X
ARSUGX=X
ARSUSD=X
ARSUYU=X
ARSVEF=X
AUDAED=X
AUDANG=X
AUDARS=X
AUDAWG=X
AUDBBD=X
AUDBHD=X
AUDBMD=X
AUDBOB=X
AUDBRL=X
AUDBSD=X
AUDBWP=X
AUDBZD=X
AUDCAD=X
AUDCHF=X
AUDCLP=X
AUDCNY=X
AUDCOP=X
AUDCRC=X
AUDCZK=X
AUDDKK=X
AUDDOP=X
AUDEGP=X
AUDEUR=X
AUDFJD=X
AUDGBP=X
AUDGHS=X
AUDGTQ=X
AUDHKD=X
AUDHNL=X
AUDHRK=X
AUDHUF=X
AUDIDR=X
AUDILS=X
AUDINR=X
AUDISK=X
AUDJMD=X
AUDJOD=X
AUDJPY=X
AUDKES=X
AUDKRW=X
AUDKWD=X
AUDKYD=X
AUDLKR=X
AUDMAD=X
AUDMGA=X
AUDMOP=X
AUDMUR=X
AUDMXN=X
AUDMYR=X
AUDNGN=X
AUDNOK=X
AUDNZD=X
AUDOMR=X
AUDPEN=X
AUDPGK=X
AUDPHP=X
AUDPKR=X
AUDPLN=X
AUDPYG=X
AUDQAR=X
AUDRON=X
AUDRSD=X
AUDRUB=X
AUDSAR=X
AUDSCR=X
AUDSEK=X
AUDSGD=X
AUDSVC=X
AUDSYP=X
AUDTHB=X
AUDTMT=X
AUDTND=X
AUDTRY=X
AUDTTD=X
AUDTWD=X
AUDUGX=X
AUDUSD=X
AUDUYU=X
AUDVEF=X
AUDXCD=X
AUDXPF=X
AUDZAR=X
AWGCHF=X
AWGEUR=X
AWGGBP=X
AWGUSD=X
BBDCHF=X
BBDDKK=X
BBDEUR=X
BBDGBP=X
BBDUSD=X
BDTBWP=X
BDTCAD=X
BDTCHF=X
BDTEUR=X
BDTGBP=X
BDTGHS=X
BDTHKD=X
BDTJPY=X
BDTSEK=X
BDTSGD=X
BDTUGX=X
BDTUSD=X
BGNBWP=X
BGNCHF=X
BGNCZK=X
BGNDKK=X
BGNEUR=X
BGNGBP=X
BGNGHS=X
BGNINR=X
BGNPLN=X
BGNRSD=X
BGNSEK=X
BGNSGD=X
BGNTHB=X
BGNTRY=X
BGNUGX=X
BGNUSD=X
BHDAED=X
BHDBWP=X
BHDCHF=X
BHDDKK=X
BHDEUR=X
BHDGBP=X
BHDGHS=X
BHDHKD=X
BHDJPY=X
BHDKWD=X
BHDNZD=X
BHDOMR=X
BHDPKR=X
BHDQAR=X
BHDSAR=X
BHDSGD=X
BHDUGX=X
BHDUSD=X
BIFCHF=X
BIFEUR=X
BIFGBP=X
BIFUSD=X
BMDCHF=X
BMDDKK=X
BMDEUR=X
BMDGBP=X
BMDGHS=X
BMDUGX=X
BMDUSD=X
BNDCHF=X
BNDDKK=X
BNDEUR=X
BNDGBP=X
BNDIDR=X
BNDUSD=X
BOBARS=X
BOBBRL=X
BOBCHF=X
BOBCLP=X
BOBCOP=X
BOBEUR=X
BOBGBP=X
BOBMXN=X
BOBPEN=X
BOBPYG=X
BOBUSD=X
BOBUYU=X
BOBVEF=X
BRLARS=X
BRLAUD=X
BRLBOB=X
BRLBWP=X
BRLCAD=X
BRLCHF=X
BRLCLP=X
BRLCNY=X
BRLCOP=X
BRLDKK=X
BRLEUR=X
BRLGBP=X
BRLGHS=X
BRLHKD=X
BRLIDR=X
BRLILS=X
BRLINR=X
BRLJPY=X
BRLKRW=X
BRLMXN=X
BRLMYR=X
BRLNGN=X
BRLNOK=X
BRLNZD=X
BRLPEN=X
BRLPYG=X
BRLRUB=X
BRLSEK=X
BRLSGD=X
BRLTHB=X
BRLTRY=X
BRLTWD=X
BRLUGX=X
BRLUSD=X
BRLUYU=X
BRLVEF=X
BRLZAR=X
BSDCAD=X
BSDCHF=X
BSDDKK=X
BSDEUR=X
BSDGBP=X
BSDUSD=X
BWPAED=X
BWPAFN=X
BWPANG=X
BWPARS=X
BWPAUD=X
BWPBDT=X
BWPBGN=X
BWPBHD=X
BWPBMD=X
BWPBRL=X
BWPCAD=X
BWPCHF=X
BWPCLP=X
BWPCNY=X
BWPCOP=X
BWPCZK=X
BWPDKK=X
BWPEGP=X
BWPEUR=X
BWPFJD=X
BWPGBP=X
BWPGHS=X
BWPHKD=X
BWPHRK=X
BWPHUF=X
BWPIDR=X
BWPILS=X
BWPINR=X
BWPISK=X
BWPJOD=X
BWPJPY=X
BWPKES=X
BWPKRW=X
BWPKWD=X
BWPKYD=X
BWPKZT=X
BWPLKR=X
BWPMAD=X
BWPMOP=X
BWPMUR=X
BWPMWK=X
BWPMXN=X
BWPMYR=X
BWPNAD=X
BWPNGN=X
BWPNOK=X
BWPNZD=X
BWPOMR=X
BWPPEN=X
BWPPGK=X
BWPPHP=X
BWPPKR=X
BWPQAR=X
BWPRON=X
BWPRSD=X
BWPRUB=X
BWPRWF=X
BWPSAR=X
BWPSEK=X
BWPSGD=X
BWPTHB=X
BWPTND=X
BWPTRY=X
BWPTWD=X
BWPTZS=X
BWPUGX=X
BWPUSD=X
BWPVND=X
BWPXOF=X
BWPZAR=X
BWPZMW=X
BYNEUR=X
BYNGBP=X
BYNPLN=X
BYNRUB=X
BYNUSD=X
BZDCHF=X
BZDEUR=X
BZDGBP=X
BZDUSD=X
CADAED=X
CADAFN=X
CADALL=X
CADANG=X
CADARS=X
CADAUD=X
CADAWG=X
CADBBD=X
CADBDT=X
CADBGN=X
CADBHD=X
CADBIF=X
CADBMD=X
CADBND=X
CADBOB=X
CADBRL=X
CADBSD=X
CADBWP=X
CADBYN=X
CADBZD=X
CADCDF=X
CADCHF=X
CADCLP=X
CADCNY=X
CADCOP=X
CADCRC=X
CADCUP=X
CADCVE=X
CADCZK=X
CADDJF=X
CADDKK=X
CADDOP=X
CADDZD=X
CADEGP=X
CADETB=X
CADEUR=X
CADFJD=X
CADGBP=X
CADGHS=X
CADGMD=X
CADGNF=X
CADGTQ=X
CADGYD=X
CADHKD=X
CADHNL=X
CADHRK=X
CADHTG=X
CADHUF=X
CADIDR=X
CADILS=X
CADINR=X
CADIQD=X
CADIRR=X
CADISK=X
CADJMD=X
CADJOD=X
CADJPY=X
CADKES=X
CADKHR=X
CADKMF=X
CADKRW=X
CADKWD=X
CADKYD=X
CADKZT=X
CADLAK=X
CADLBP=X
CADLKR=X
CADLRD=X
CADLSL=X
CADLYD=X
CADMAD=X
CADMDL=X
CADMGA=X
CADMKD=X
CADMMK=X
CADMOP=X
CADMUR=X
CADMVR=X
CADMWK=X
CADMXN=X
CADMYR=X
CADMZN=X
CADNAD=X
CADNGN=X
CADNIO=X
CADNOK=X
CADNPR=X
CADNZD=X
CADOMR=X
CADPAB=X
CADPEN=X
CADPGK=X
CADPHP=X
CADPKR=X
CADPLN=X
CADPYG=X
CADQAR=X
CADRON=X
CADRSD=X
CADRUB=X
CADRWF=X
CADSAR=X
CADSCR=X
CADSDG=X
CADSEK=X
CADSGD=X
CADSHP=X
CADSLL=X
CADSOS=X
CADSVC=X
CADSYP=X
CADSZL=X
CADTHB=X
CADTMT=X
CADTND=X
CADTRY=X
CADTTD=X
CADTWD=X
CADTZS=X
CADUAH=X
CADUGX=X
CADUSD=X
CADUYU=X
CADUZS=X
CADVEF=X
CADVND=X
CADXAF=X
CADXCD=X
CADXOF=X
CADXPF=X
CADYER=X
CADZAR=X
CADZMW=X
CDFEUR=X
CDFGBP=X
CDFUSD=X
CHFAED=X
CHFAFN=X
CHFALL=X
CHFANG=X
CHFARS=X
CHFAUD=X
CHFAWG=X
CHFBBD=X
CHFBDT=X
CHFBGN=X
CHFBHD=X
CHFBIF=X
CHFBMD=X
CHFBND=X
CHFBOB=X
CHFBRL=X
CHFBSD=X
CHFBWP=X
CHFBYN=X
CHFBZD=X
CHFCAD=X
CHFCDF=X
CHFCLP=X
CHFCNY=X
CHFCOP=X
CHFCRC=X
CHFCUP=X
CHFCVE=X
CHFCZK=X
CHFDJF=X
CHFDKK=X
CHFDOP=X
CHFDZD=X
CHFEGP=X
CHFETB=X
CHFEUR=X
CHFFJD=X
CHFGBP=X
CHFGHS=X
CHFGMD=X
CHFGNF=X
CHFGTQ=X
CHFGYD=X
CHFHKD=X
CHFHNL=X
CHFHRK=X
CHFHTG=X
CHFHUF=X
CHFIDR=X
CHFILS=X
CHFINR=X
CHFIQD=X
CHFIRR=X
CHFISK=X
CHFJMD=X
CHFJOD=X
CHFJPY=X
CHFKES=X
CHFKHR=X
CHFKMF=X
CHFKRW=X
CHFKWD=X
CHFKYD=X
CHFKZT=X
CHFLAK=X
CHFLBP=X
CHFLKR=X
CHFLRD=X
CHFLSL=X
CHFLYD=X
CHFMAD=X
CHFMDL=X
CHFMGA=X
CHFMKD=X
CHFMMK=X
CHFMOP=X
CHFMUR=X
CHFMVR=X
CHFMWK=X
CHFMXN=X
CHFMYR=X
CHFMZN=X
CHFNAD=X
CHFNGN=X
CHFNIO=X
CHFNOK=X
CHFNPR=X
CHFNZD=X
CHFOMR=X
CHFPAB=X
CHFPEN=X
CHFPGK=X
CHFPHP=X
CHFPKR=X
CHFPLN=X
CHFPYG=X
CHFQAR=X
CHFRON=X
CHFRSD=X
CHFRUB=X
CHFRWF=X
CHFSAR=X
CHFSCR=X
CHFSDG=X
CHFSEK=X
CHFSGD=X
CHFSHP=X
CHFSLL=X
CHFSOS=X
CHFSVC=X
CHFSYP=X
CHFSZL=X
CHFTHB=X
CHFTMT=X
CHFTND=X
CHFTRY=X
CHFTTD=X
CHFTWD=X
CHFTZS=X
CHFUAH=X
CHFUGX=X
CHFUSD=X
CHFUYU=X
CHFUZS=X
CHFVEF=X
CHFVND=X
CHFXAF=X
CHFXCD=X
CHFXOF=X
CHFXPF=X
CHFYER=X
CHFZAR=X
CHFZMW=X
CLPARS=X
CLPBOB=X
CLPBRL=X
CLPCAD=X
CLPCHF=X
CLPCOP=X
CLPDKK=X
CLPEUR=X
CLPGBP=X
CLPGHS=X
CLPJPY=X
CLPKRW=X
CLPMXN=X
CLPNOK=X
CLPNZD=X
CLPPEN=X
CLPPYG=X
CLPSEK=X
CLPTHB=X
CLPTRY=X
CLPUGX=X
CLPUSD=X
CLPUYU=X
CLPVEF=X
CLPZAR=X
CNYAED=X
CNYAUD=X
CNYBND=X
CNYBRL=X
CNYBWP=X
CNYCAD=X
CNYCHF=X
CNYCZK=X
CNYDKK=X
CNYEGP=X
CNYEUR=X
CNYGBP=X
CNYGHS=X
CNYHKD=X
CNYHUF=X
CNYIDR=X
CNYILS=X
CNYINR=X
CNYISK=X
CNYJOD=X
CNYJPY=X
CNYKES=X
CNYKHR=X
CNYKRW=X
CNYKWD=X
CNYLAK=X
CNYLKR=X
CNYMAD=X
CNYMMK=X
CNYMUR=X
CNYMXN=X
CNYMYR=X
CNYNOK=X
CNYNZD=X
CNYOMR=X
CNYPHP=X
CNYPLN=X
CNYQAR=X
CNYRSD=X
CNYRUB=X
CNYSAR=X
CNYSEK=X
CNYSGD=X
CNYTHB=X
CNYTND=X
CNYTRY=X
CNYTWD=X
CNYUGX=X
CNYUSD=X
CNYVND=X
CNYZAR=X
COPARS=X
COPBOB=X
COPBRL=X
COPBWP=X
COPCAD=X
COPCHF=X
COPCLP=X
COPDKK=X
COPEUR=X
COPGBP=X
COPGHS=X
COPJPY=X
COPMXN=X
COPPEN=X
COPPYG=X
COPSGD=X
COPTHB=X
COPUGX=X
COPUSD=X
COPUYU=X
COPVEF=X
CRCCHF=X
CRCEUR=X
CRCGBP=X
CRCUSD=X
CUPEUR=X
CUPGBP=X
CUPUSD=X
CVECHF=X
CVEDKK=X
CVEUSD=X
CZKAED=X
CZKARS=X
CZKAUD=X
CZKBDT=X
CZKBGN=X
CZKBHD=X
CZKBMD=X
CZKBND=X
CZKBOB=X
CZKBRL=X
CZKCAD=X
CZKCHF=X
CZKCLP=X
CZKCNY=X
CZKCOP=X
CZKDKK=X
CZKEGP=X
CZKEUR=X
CZKGBP=X
CZKGHS=X
CZKHKD=X
CZKHUF=X
CZKIDR=X
CZKILS=X
CZKINR=X
CZKISK=X
CZKJOD=X
CZKJPY=X
CZKKES=X
CZKKRW=X
CZKKWD=X
CZKLBP=X
CZKLKR=X
CZKMAD=X
CZKMUR=X
CZKMXN=X
CZKMYR=X
CZKNGN=X
CZKNOK=X
CZKNZD=X
CZKOMR=X
CZKPEN=X
CZKPGK=X
CZKPHP=X
CZKPKR=X
CZKPLN=X
CZKQAR=X
CZKRON=X
CZKRSD=X
CZKRUB=X
CZKSAR=X
CZKSEK=X
CZKSGD=X
CZKTHB=X
CZKTND=X
CZKTRY=X
CZKTWD=X
CZKUAH=X
CZKUGX=X
CZKUSD=X
CZKUYU=X
CZKVEF=X
CZKZAR=X
DJFCHF=X
DJFEUR=X
DJFGBP=X
DJFUSD=X
DKKAED=X
DKKANG=X
DKKAUD=X
DKKBGN=X
DKKBRL=X
DKKCAD=X
DKKCHF=X
DKKCLP=X
DKKCNY=X
DKKCZK=X
DKKEGP=X
DKKEUR=X
DKKGBP=X
DKKHKD=X
DKKHUF=X
DKKIDR=X
DKKILS=X
DKKINR=X
DKKISK=X
DKKJOD=X
DKKJPY=X
DKKKES=X
DKKKRW=X
DKKKWD=X
DKKLKR=X
DKKMAD=X
DKKMUR=X
DKKMXN=X
DKKMYR=X
DKKNOK=X
DKKNZD=X
DKKOMR=X
DKKPHP=X
DKKPKR=X
DKKPLN=X
DKKQAR=X
DKKRON=X
DKKRSD=X
DKKRUB=X
DKKSAR=X
DKKSEK=X
DKKSGD=X
DKKTHB=X
DKKTND=X
DKKTRY=X
DKKTWD=X
DKKUAH=X
DKKUGX=X
DKKUSD=X
DKKZAR=X
DOPCHF=X
DOPDKK=X
DOPEUR=X
DOPGBP=X
DOPUSD=X
DZDEUR=X
DZDGBP=X
DZDMAD=X
DZDUSD=X
EGPAED=X
EGPAUD=X
EGPBWP=X
EGPCAD=X
EGPCHF=X
EGPCNY=X
EGPCZK=X
EGPDKK=X
EGPEUR=X
EGPGBP=X
EGPGHS=X
EGPHKD=X
EGPHUF=X
EGPIDR=X
EGPILS=X
EGPINR=X
EGPJOD=X
EGPJPY=X
EGPKES=X
EGPKRW=X
EGPKWD=X
EGPLKR=X
EGPMAD=X
EGPMUR=X
EGPMXN=X
EGPNOK=X
EGPNZD=X
EGPOMR=X
EGPPHP=X
EGPPKR=X
EGPPLN=X
EGPQAR=X
EGPRUB=X
EGPSAR=X
EGPSEK=X
EGPSGD=X
EGPTHB=X
EGPTND=X
EGPTRY=X
EGPTWD=X
EGPUGX=X
EGPUSD=X
EGPZAR=X
ETBCHF=X
ETBDKK=X
ETBEUR=X
ETBGBP=X
ETBUSD=X
EURAED=X
EURAFN=X
EURALL=X
EURANG=X
EURARS=X
EURAUD=X
EURAWG=X
EURBBD=X
EURBDT=X
EURBGN=X
EURBHD=X
EURBIF=X
EURBMD=X
EURBND=X
EURBOB=X
EURBRL=X
EURBSD=X
EURBWP=X
EURBYN=X
EURBZD=X
EURCAD=X
EURCDF=X
EURCHF=X
EURCLP=X
EURCNY=X
EURCOP=X
EURCRC=X
EURCUP=X
EURCVE=X
EURCZK=X
EURDJF=X
EURDKK=X
EURDOP=X
EURDZD=X
EUREGP=X
EURETB=X
EURFJD=X
EURGBP=X
EURGHS=X
EURGMD=X
EURGNF=X
EURGTQ=X
EURGYD=X
EURHKD=X
EURHNL=X
EURHRK=X
EURHTG=X
EURHUF=X
EURIDR=X
EURILS=X
EURINR=X
EURIQD=X
EURIRR=X
EURISK=X
EURJMD=X
EURJOD=X
EURJPY=X
EURKES=X
EURKHR=X
EURKMF=X
EURKRW=X
EURKWD=X
EURKYD=X
EURKZT=X
EURLAK=X
EURLBP=X
EURLKR=X
EURLRD=X
EURLSL=X
EURLYD=X
EURMAD=X
EURMDL=X
EURMGA=X
EURMKD=X
EURMMK=X
EURMOP=X
EURMUR=X
EURMVR=X
EURMWK=X
EURMXN=X
EURMYR=X
EURMZN=X
EURNAD=X
EURNGN=X
EURNIO=X
EURNOK=X
EURNPR=X
EURNZD=X
EUROMR=X
EURPAB=X
EURPEN=X
EURPGK=X
EURPHP=X
EURPKR=X
EURPLN=X
EURPYG=X
EURQAR=X
EURRON=X
EURRSD=X
EURRUB=X
EURRWF=X
EURSAR=X
EURSCR=X
EURSDG=X
EURSEK=X
EURSGD=X
EURSHP=X
EURSLL=X
EURSOS=X
EURSVC=X
EURSYP=X
EURSZL=X
EURTHB=X
EURTMT=X
EURTND=X
EURTRY=X
EURTTD=X
EURTWD=X
EURTZS=X
EURUAH=X
EURUGX=X
EURUSD=X
EURUYU=X
EURUZS=X
EURVEF=X
EURVND=X
EURXAF=X
EURXCD=X
EURXOF=X
EURXPF=X
EURYER=X
EURZAR=X
EURZMW=X
FJDAUD=X
FJDBWP=X
FJDCAD=X
FJDCHF=X
FJDDKK=X
FJDEUR=X
FJDGBP=X
FJDGHS=X
FJDHKD=X
FJDJPY=X
FJDNZD=X
FJDUGX=X
FJDUSD=X
GBPAED=X
GBPAFN=X
GBPALL=X
GBPANG=X
GBPARS=X
GBPAUD=X
GBPAWG=X
GBPBBD=X
GBPBDT=X
GBPBGN=X
GBPBHD=X
GBPBIF=X
GBPBMD=X
GBPBND=X
GBPBOB=X
GBPBRL=X
GBPBSD=X
GBPBWP=X
GBPBYN=X
GBPBZD=X
GBPCAD=X
GBPCDF=X
GBPCHF=X
GBPCLP=X
GBPCNY=X
GBPCOP=X
GBPCRC=X
GBPCUP=X
GBPCVE=X
GBPCZK=X
GBPDJF=X
GBPDKK=X
GBPDOP=X
GBPDZD=X
GBPEGP=X
GBPETB=X
GBPEUR=X
GBPFJD=X
GBPGHS=X
GBPGMD=X
GBPGNF=X
GBPGTQ=X
GBPGYD=X
GBPHKD=X
GBPHNL=X
GBPHRK=X
GBPHTG=X
GBPHUF=X
GBPIDR=X
GBPILS=X
GBPINR=X
GBPIQD=X
GBPIRR=X
GBPISK=X
GBPJMD=X
GBPJOD=X
GBPJPY=X
GBPKES=X
GBPKHR=X
GBPKMF=X
GBPKRW=X
GBPKWD=X
GBPKYD=X
GBPKZT=X
GBPLAK=X
GBPLBP=X
GBPLKR=X
GBPLRD=X
GBPLSL=X
GBPLYD=X
GBPMAD=X
GBPMDL=X
GBPMGA=X
GBPMKD=X
GBPMMK=X
GBPMOP=X
GBPMUR=X
GBPMVR=X
GBPMWK=X
GBPMXN=X
GBPMYR=X
GBPMZN=X
GBPNAD=X
GBPNGN=X
GBPNIO=X
GBPNOK=X
GBPNPR=X
GBPNZD=X
GBPOMR=X
GBPPAB=X
GBPPEN=X
GBPPGK=X
GBPPHP=X
GBPPKR=X
GBPPLN=X
GBPPYG=X
GBPQAR=X
GBPRON=X
GBPRSD=X
GBPRUB=X
GBPRWF=X
GBPSAR=X
GBPSCR=X
GBPSDG=X
GBPSEK=X
GBPSGD=X
GBPSHP=X
GBPSLL=X
GBPSOS=X
GBPSVC=X
GBPSYP=X
GBPSZL=X
GBPTHB=X
GBPTMT=X
GBPTND=X
GBPTRY=X
GBPTTD=X
GBPTWD=X
GBPTZS=X
GBPUAH=X
GBPUGX=X
GBPUSD=X
GBPUYU=X
GBPUZS=X
GBPVEF=X
GBPVND=X
GBPXAF=X
GBPXCD=X
GBPXOF=X
GBPXPF=X
GBPYER=X
GBPZAR=X
GBPZMW=X
GHSAED=X
GHSAFN=X
GHSANG=X
GHSARS=X
GHSAUD=X
GHSBDT=X
GHSBGN=X
GHSBHD=X
GHSBMD=X
GHSBRL=X
GHSBWP=X
GHSCAD=X
GHSCLP=X
GHSCNY=X
GHSCOP=X
GHSCZK=X
GHSDKK=X
GHSEGP=X
GHSEUR=X
GHSFJD=X
GHSGBP=X
GHSHKD=X
GHSHRK=X
GHSHUF=X
GHSIDR=X
GHSILS=X
GHSINR=X
GHSISK=X
GHSJOD=X
GHSJPY=X
GHSKES=X
GHSKRW=X
GHSKWD=X
GHSKYD=X
GHSKZT=X
GHSLKR=X
GHSMAD=X
GHSMOP=X
GHSMUR=X
GHSMWK=X
GHSMXN=X
GHSMYR=X
GHSNAD=X
GHSNGN=X
GHSNOK=X
GHSNZD=X
GHSOMR=X
GHSPEN=X
GHSPGK=X
GHSPHP=X
GHSPKR=X
GHSQAR=X
GHSRON=X
GHSRSD=X
GHSRUB=X
GHSRWF=X
GHSSAR=X
GHSSEK=X
GHSSGD=X
GHSTHB=X
GHSTND=X
GHSTRY=X
GHSTWD=X
GHSTZS=X
GHSUGX=X
GHSUSD=X
GHSVND=X
GHSXOF=X
GHSZAR=X
GHSZMW=X
GMDCHF=X
GMDDKK=X
GMDEUR=X
GMDGBP=X
GMDUSD=X
GNFCHF=X
GNFEUR=X
GNFGBP=X
GNFUSD=X
GTQCAD=X
GTQCHF=X
GTQEUR=X
GTQGBP=X
GTQUSD=X
GYDCHF=X
GYDEUR=X
GYDUSD=X
HKDAED=X
HKDARS=X
HKDAUD=X
HKDBDT=X
HKDBHD=X
HKDBMD=X
HKDBOB=X
HKDBRL=X
HKDBWP=X
HKDCAD=X
HKDCHF=X
HKDCLP=X
HKDCNY=X
HKDCOP=X
HKDCZK=X
HKDDKK=X
HKDEGP=X
HKDEUR=X
HKDGBP=X
HKDGHS=X
HKDHUF=X
HKDIDR=X
HKDILS=X
HKDINR=X
HKDISK=X
HKDJOD=X
HKDJPY=X
HKDKES=X
HKDKRW=X
HKDKWD=X
HKDLBP=X
HKDLKR=X
HKDMAD=X
HKDMOP=X
HKDMUR=X
HKDMXN=X
HKDMYR=X
HKDNGN=X
HKDNOK=X
HKDNZD=X
HKDOMR=X
HKDPEN=X
HKDPHP=X
HKDPKR=X
HKDPLN=X
HKDQAR=X
HKDRUB=X
HKDSAR=X
HKDSEK=X
HKDSGD=X
HKDSYP=X
HKDTHB=X
HKDTND=X
HKDTRY=X
HKDTWD=X
HKDUGX=X
HKDUSD=X
HKDUYU=X
HKDVEF=X
HKDVND=X
HKDZAR=X
HNLCAD=X
HNLCHF=X
HNLEUR=X
HNLGBP=X
HNLUSD=X
HRKAED=X
HRKAUD=X
HRKBRL=X
HRKBWP=X
HRKCAD=X
HRKCHF=X
HRKCNY=X
HRKCZK=X
HRKDKK=X
HRKEUR=X
HRKGBP=X
HRKGHS=X
HRKHKD=X
HRKILS=X
HRKINR=X
HRKJPY=X
HRKKRW=X
HRKKWD=X
HRKMKD=X
HRKNOK=X
HRKNZD=X
HRKPLN=X
HRKRON=X
HRKRSD=X
HRKRUB=X
HRKSEK=X
HRKSGD=X
HRKTHB=X
HRKTRY=X
HRKUAH=X
HRKUGX=X
HRKUSD=X
HRKZAR=X
HTGCHF=X
HTGEUR=X
HTGGBP=X
HTGUSD=X
HUFAED=X
HUFAUD=X
HUFBRL=X
HUFBWP=X
HUFCAD=X
HUFCHF=X
HUFCNY=X
HUFCZK=X
HUFDKK=X
HUFEGP=X
HUFEUR=X
HUFGBP=X
HUFGHS=X
HUFHKD=X
HUFIDR=X
HUFILS=X
HUFINR=X
HUFISK=X
HUFJOD=X
HUFJPY=X
HUFKES=X
HUFKRW=X
HUFKWD=X
HUFLKR=X
HUFMAD=X
HUFMUR=X
HUFMXN=X
HUFMYR=X
HUFNOK=X
HUFNZD=X
HUFOMR=X
HUFPHP=X
HUFPLN=X
HUFQAR=X
HUFRON=X
HUFRSD=X
HUFRUB=X
HUFSAR=X
HUFSEK=X
HUFSGD=X
HUFTHB=X
HUFTND=X
HUFTRY=X
HUFTWD=X
HUFUAH=X
HUFUGX=X
HUFUSD=X
HUFZAR=X
IDRAED=X
IDRAUD=X
IDRBND=X
IDRBRL=X
IDRBWP=X
IDRCAD=X
IDRCHF=X
IDRCNY=X
IDRCZK=X
IDRDKK=X
IDREGP=X
IDREUR=X
IDRGBP=X
IDRGHS=X
IDRHKD=X
IDRHUF=X
IDRILS=X
IDRINR=X
IDRISK=X
IDRJOD=X
IDRJPY=X
IDRKES=X
IDRKRW=X
IDRKWD=X
IDRLKR=X
IDRMAD=X
IDRMUR=X
IDRMXN=X
IDRMYR=X
IDRNOK=X
IDRNZD=X
IDROMR=X
IDRPHP=X
IDRQAR=X
IDRRUB=X
IDRSAR=X
IDRSEK=X
IDRSGD=X
IDRTHB=X
IDRTND=X
IDRTRY=X
IDRTWD=X
IDRUGX=X
IDRUSD=X
IDRZAR=X
ILSAED=X
ILSAUD=X
ILSBRL=X
ILSBWP=X
ILSCAD=X
ILSCHF=X
ILSCLP=X
ILSCNY=X
ILSCZK=X
ILSDKK=X
ILSEGP=X
ILSEUR=X
ILSGBP=X
ILSGHS=X
ILSHKD=X
ILSHUF=X
ILSIDR=X
ILSINR=X
ILSISK=X
ILSJOD=X
ILSJPY=X
ILSKES=X
ILSKRW=X
ILSKWD=X
ILSLKR=X
ILSMAD=X
ILSMUR=X
ILSMXN=X
