ticker,industry
APTO,biotechnology & medical research
APTS,residential reits
APTV,"auto, truck & motorcycle parts"
APU,oil & gas refining and marketing
APVO,biotechnology & medical research
APWC,electrical components & equipment
APY,business support services
AQ,semiconductors
AQB,biotechnology & medical research
AQMS,specialty mining & metals
AQN,multiline utilities
AQUA,environmental services & equipment
AQXP,pharmaceuticals
AR,oil & gas exploration and production
ARA,healthcare facilities & services
ARAY,advanced medical equipment & technology
ARC,commercial printing services
ARCB,ground freight & logistics
ARCC,closed end funds
ARCH,coal
ARCI,home furnishings retailers
ARCO,restaurants & bars
ARCT,biotechnology & medical research
ARCW,industrial machinery & equipment
ARD,non-paper containers & packaging
ARDM,biotechnology & medical research
ARDX,biotechnology & medical research
ARE,commercial reits
ARES,investment management & fund operators
AREX,oil & gas exploration and production
ARGO,property & casualty insurance
ARGT,exchange traded fund
ARGX,biotechnology & medical research
ARI,specialized reits
ARII,heavy machinery & vehicles
ARKG,exchange traded fund
ARKK,exchange traded fund
ARKQ,exchange traded fund
ARKR,restaurants & bars
ARKW,exchange traded fund
ARL,real estate development & operations
ARLP,coal
ARLZ,pharmaceuticals
ARMK,restaurants & bars
ARMO,biotechnology & medical research
ARNA,biotechnology & medical research
ARNC,aluminum
AROC,oil related services and equipment
AROW,banks
ARQL,biotechnology & medical research
ARR,residential reits
ARRS,communications & networking
ARRY,biotechnology & medical research
ARTNA,water utilities
ARTW,heavy machinery & vehicles
ARTX,electrical components & equipment
ARW,semiconductors
ARWR,biotechnology & medical research
ASB,banks
ASC,oil & gas transportation services
ASCMA,business support services
ASEA,exchange traded fund
ASET,exchange traded fund
ASFI,corporate financial services
ASGN,employment services
ASH,diversified chemicals
ASHR,exchange traded fund
ASHS,exchange traded fund
ASHX,exchange traded fund
ASIX,specialty chemicals
ASM,integrated mining
ASMB,pharmaceuticals
ASML,semiconductor equipment & testing
ASNA,apparel & accessories retailers
ASND,biotechnology & medical research
ASNS,biotechnology & medical research
ASPN,construction supplies & fixtures
ASPS,real estate services
ASPU,professional information services
ASR,airport services
ASRV,banks
AST,biotechnology & medical research
ASTC,aerospace & defense
ASTE,heavy machinery & vehicles
ASUR,software
ASV,heavy machinery & vehicles
ASYS,industrial machinery & equipment
AT,electric utilities
ATAC,holding companies
ATAI,business support services
ATAX,banks
ATEC,advanced medical equipment & technology
ATEN,software
ATGE,personal services
ATH,life & health insurance
ATHM,internet services
ATHN,advanced medical equipment & technology
ATHX,biotechnology & medical research
ATI,specialty mining & metals
ATIS,software
ATKR,electrical components & equipment
ATLC,consumer lending
ATLO,banks
ATNI,integrated telecommunications services
ATNM,biotechnology & medical research
ATNX,biotechnology & medical research
ATO,natural gas utilities
ATOM,semiconductors
ATOS,advanced medical equipment & technology
ATR,non-paper containers & packaging
ATRA,biotechnology & medical research
ATRC,"medical equipment, supplies & distribution"
ATRI,"medical equipment, supplies & distribution"
ATRO,aerospace & defense
